clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl38_e104_Chn2_L5_NP,0.769230769,11646,9,48,56,2,Cd24a,Myl4,nan,nan,nan,nan,cl38_e104_Chn2_L5_NP&Cd24a>=8.329282760620117&Myl4>=10.770389556884766
cl39_i103_Rnf138rt1_Vip,0.610169492,11644,12,67,36,4,Car4,Galnt14,Gpd1,Slc24a3,nan,nan,cl39_i103_Rnf138rt1_Vip&Car4>=9.261178016662598&Galnt14>=8.187013626098633&Gpd1>=8.76767635345459&Slc24a3>=8.679685592651367
cl3_i309_Cpne6_Lamp5,0.67077872,11377,73,135,174,2,Npy,Sema5a,nan,nan,nan,nan,cl3_i309_Cpne6_Lamp5&Npy>=14.889259338378906&Sema5a>=7.958838939666748
cl40_i103_Il7_Pvalb,0.89010989,11649,7,22,81,2,Aldoc,Th,nan,nan,nan,nan,cl40_i103_Il7_Pvalb&Aldoc>=8.23849105834961&Th>=10.137713432312012
cl41_n102_Selplg_Macrophage,0.962264151,11652,5,0,102,1,Cx3cr1,nan,nan,nan,nan,nan,cl41_n102_Selplg_Macrophage&Cx3cr1>=9.553213119506836
cl44_e96_Chrna6_L5_PT,0.915841584,11660,3,22,74,3,Fezf2,Grin3a,Reln,nan,nan,nan,cl44_e96_Chrna6_L5_PT&Fezf2>=6.709616184234619&Grin3a>=4.095231533050537&Reln>=5.953054428100586
cl45_i95_Gsx2_Vip,0.628019324,11662,2,69,26,3,Aldoc,Grm8,Penk,nan,nan,nan,cl45_i95_Gsx2_Vip&Aldoc>=9.728255271911621&Grm8>=7.92822265625&Penk>=10.813127517700195
cl46_e95_Npc1l1_L5_IT,0.786516854,11663,1,53,42,4,Cbln2,Enpp2,Ptprk,St6galnac5,nan,nan,cl46_e95_Npc1l1_L5_IT&Cbln2>=6.490661144256592&Enpp2>=7.555453300476074&Ptprk>=6.196572303771973&St6galnac5>=6.149572372436523
cl48_e91_Csgalnact1_L6_IT,0.558912387,11645,23,54,37,4,Blnk,Plekha2,Slc17a7,Trp53i11,nan,nan,cl48_e91_Csgalnact1_L6_IT&Blnk>=6.716803550720215&Plekha2>=4.031103134155273&Slc17a7>=10.07338809967041&Trp53i11>=7.660224914550781
cl49_i90_Gpr149_Pvalb,0.846560847,11661,8,26,64,4,Gad1,Hpcal1,Pvalb,Tcerg1l,nan,nan,cl49_i90_Gpr149_Pvalb&Gad1>=11.473438262939453&Hpcal1>=2.6047935485839844&Pvalb>=9.677242279052734&Tcerg1l>=4.002511501312256
cl4_e253_Lgmn_L5_IT,0.778564206,11476,30,99,154,3,Hs3st2,Myl4,Serpine2,nan,nan,nan,cl4_e253_Lgmn_L5_IT&Hs3st2>=8.078447341918945&Myl4>=8.453782081604004&Serpine2>=6.594958782196045
cl50_i90_Agt_Lamp5,0.724137931,11661,8,48,42,3,Cxcl14,Pcdh8,Ptprt,nan,nan,nan,cl50_i90_Agt_Lamp5&Cxcl14>=10.468423843383789&Pcdh8>=7.036346912384033&Ptprt>=7.765621662139893
cl52_i88_TrnI_Pvalb,0.9375,11670,1,19,69,3,C1ql1,Hs3st2,Pvalb,nan,nan,nan,cl52_i88_TrnI_Pvalb&C1ql1>=4.56618070602417&Hs3st2>=1.4762053489685059&Pvalb>=6.072143077850342
cl53_i85_Dclk2_Pvalb,0.703971119,11665,9,46,39,3,Cplx1,Etv1,Kcnip1,nan,nan,nan,cl53_i85_Dclk2_Pvalb&Cplx1>=11.842245101928711&Etv1>=3.0480871200561523&Kcnip1>=8.2205810546875
cl54_i85_Thbs3_Vip,0.711462451,11668,6,49,36,3,Cbln2,Ptk2b,Slc24a3,nan,nan,nan,cl54_i85_Thbs3_Vip&Cbln2>=8.775699615478516&Ptk2b>=1.5611729621887207&Slc24a3>=8.615331649780273
cl57_i83_Myl1_Vip,0.749185668,11666,10,37,46,3,Cox6a2,Igfbp7,Tpm2,nan,nan,nan,cl57_i83_Myl1_Vip&Cox6a2>=8.454898834228516&Igfbp7>=6.622950553894043&Tpm2>=7.507376670837402
