clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl149_i36_Aqp6_Vip,0.431034483,11713,10,26,10,4,Asic4,Cacng5,Col15a1,Crispld2,nan,nan,cl149_i36_Aqp6_Vip&Asic4>=7.019930839538574&Cacng5>=5.694910049438477&Col15a1>=4.299853324890137&Crispld2>=5.130542755126953
cl150_e36_Car3_L6_IT,0.909090909,11723,0,12,24,2,Car3,Osr1,nan,nan,nan,nan,cl150_e36_Car3_L6_IT&Car3>=4.252641677856445&Osr1>=0.5730111002922058
cl151_i35_Gpr63_Lamp5,0.363636364,11723,1,31,4,3,Cemip,Col14a1,Pde11a,nan,nan,nan,cl151_i35_Gpr63_Lamp5&Cemip>=1.2631746530532837&Col14a1>=0.6421836614608765&Pde11a>=8.57919692993164
cl152_e35_Elf2_L5_IT,0.393700787,11711,13,25,10,5,Ccdc80,Fezf2,Il1rapl2,Prss12,Slc17a6,nan,cl152_e35_Elf2_L5_IT&Ccdc80>=5.009054183959961&Fezf2>=5.562105655670166&Il1rapl2>=7.6090593338012695&Prss12>=3.936896800994873&Slc17a6>=3.663878917694092
cl153_i35_Mir384_Pvalb,0.518518519,11713,11,21,14,5,Cemip,Lama3,Plch1,Prdm8,Pvalb,nan,cl153_i35_Mir384_Pvalb&Cemip>=2.5066752433776855&Lama3>=0.8682742118835449&Plch1>=2.614710807800293&Prdm8>=1.0251009464263916&Pvalb>=8.710238456726074
cl155_i35_Tubb6_Vip,0.351758794,11697,27,21,14,4,Asic4,Crispld2,Pdgfra,Tac2,nan,nan,cl155_i35_Tubb6_Vip&Asic4>=5.960691452026367&Crispld2>=7.026463985443115&Pdgfra>=0.7131692171096802&Tac2>=9.519411087036133
cl156_e35_Gpr139_L6_CT,0.748502994,11716,8,10,25,2,Lsp1,Syt6,nan,nan,nan,nan,cl156_e35_Gpr139_L6_CT&Lsp1>=5.5578765869140625&Syt6>=6.753140449523926
cl158_i35_Cyp2s1_Sst,0.526315789,11719,5,25,10,4,C1qtnf7,Grin3a,Lhx6,Npas1,nan,nan,cl158_i35_Cyp2s1_Sst&C1qtnf7>=3.652388334274292&Grin3a>=9.047307968139648&Lhx6>=8.031896591186523&Npas1>=7.7033281326293945
cl160_i34_NA_Pvalb,0.365853659,11719,6,28,6,4,Cemip,Nnmt,Rerg,Tcap,nan,nan,cl160_i34_NA_Pvalb&Cemip>=1.0507633686065674&Nnmt>=5.030729293823242&Rerg>=6.681894302368164&Tcap>=8.222124099731445
cl161_i34_Spsb2_Vip,0.595238095,11717,8,19,15,4,Asic4,Cacng5,Cxcl14,Pxdc1,nan,nan,cl161_i34_Spsb2_Vip&Asic4>=6.593502044677734&Cacng5>=5.950552940368652&Cxcl14>=9.635518074035645&Pxdc1>=6.27664852142334
cl162_e33_Gpr52_L6_IT,0.168067227,11657,69,21,12,4,Adra1b,Blnk,Itgb8,Prss12,nan,nan,cl162_e33_Gpr52_L6_IT&Adra1b>=4.482658386230469&Blnk>=6.130458831787109&Itgb8>=2.0249907970428467&Prss12>=5.171304702758789
cl163_e33_Nxf7_L4,0.243902439,11726,0,31,2,2,Cbln4,Pou3f1,nan,nan,nan,nan,cl163_e33_Nxf7_L4&Cbln4>=10.149438858032227&Pou3f1>=3.9484310150146484
cl164_i33_Adra2a_Vip,0.72,11721,5,15,18,3,Cd24a,Egln3,Sp8,nan,nan,nan,cl164_i33_Adra2a_Vip&Cd24a>=9.548262596130371&Egln3>=2.9490580558776855&Sp8>=2.773439407348633
cl165_n33_Kdelr3_VLMC,0.674157303,11724,2,21,12,3,Igf2,Ror1,Vtn,nan,nan,nan,cl165_n33_Kdelr3_VLMC&Igf2>=8.133872985839844&Ror1>=6.568033218383789&Vtn>=11.8856201171875
cl166_i33_Has2os_Sst,0.346820809,11703,23,21,12,4,Cdca7,Chodl,Dnase1l3,L3mbtl4,nan,nan,cl166_i33_Has2os_Sst&Cdca7>=1.5908091068267822&Chodl>=9.114065170288086&Dnase1l3>=0.451596736907959&L3mbtl4>=0.6342426538467407
